Code Domaine,Domaine,Code zone (FAO),Zone,Code Élément,Élément,Code Produit,Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole,Note
"OA","Séries temporelles annuelles","279","Curaçao","511","Population totale","3010","Population-Estimations","2017","2017","1000 personnes","161.997","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","54","Danemark","511","Population totale","3010","Population-Estimations","2016","2016","1000 personnes","5711.349","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","54","Danemark","511","Population totale","3010","Population-Estimations","2017","2017","1000 personnes","5732.274","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","72","Djibouti","511","Population totale","3010","Population-Estimations","2016","2016","1000 personnes","929.112","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","72","Djibouti","511","Population totale","3010","Population-Estimations","2017","2017","1000 personnes","944.099","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","55","Dominique","511","Population totale","3010","Population-Estimations","2016","2016","1000 personnes","71.307","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","55","Dominique","511","Population totale","3010","Population-Estimations","2017","2017","1000 personnes","71.458","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","59","Égypte","511","Population totale","3010","Population-Estimations","2016","2016","1000 personnes","94447.073","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","59","Égypte","511","Population totale","3010","Population-Estimations","2017","2017","1000 personnes","96442.591","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","60","El Salvador","511","Population totale","3010","Population-Estimations","2016","2016","1000 personnes","6356.143","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","60","El Salvador","511","Population totale","3010","Population-Estimations","2017","2017","1000 personnes","6388.126","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","225","Émirats arabes unis","511","Population totale","3010","Population-Estimations","2016","2016","1000 personnes","9360.98","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","225","Émirats arabes unis","511","Population totale","3010","Population-Estimations","2017","2017","1000 personnes","9487.203","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","58","Équateur","511","Population totale","3010","Population-Estimations","2016","2016","1000 personnes","16491.116","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","58","Équateur","511","Population totale","3010","Population-Estimations","2017","2017","1000 personnes","16785.361","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","178","Érythrée","511","Population totale","3010","Population-Estimations","2016","2016","1000 personnes","3376.557","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","178","Érythrée","511","Population totale","3010","Population-Estimations","2017","2017","1000 personnes","3412.893","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","203","Espagne","511","Population totale","3010","Population-Estimations","2016","2016","1000 personnes","46634.14","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","203","Espagne","511","Population totale","3010","Population-Estimations","2017","2017","1000 personnes","46647.428","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","63","Estonie","511","Population totale","3010","Population-Estimations","2016","2016","1000 personnes","1316.51","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","63","Estonie","511","Population totale","3010","Population-Estimations","2017","2017","1000 personnes","1319.39","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","209","Eswatini","511","Population totale","3010","Population-Estimations","2016","2016","1000 personnes","1113.997","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","209","Eswatini","511","Population totale","3010","Population-Estimations","2017","2017","1000 personnes","1124.805","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","231","États-Unis d'Amérique","511","Population totale","3010","Population-Estimations","2016","2016","1000 personnes","323015.995","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","231","États-Unis d'Amérique","511","Population totale","3010","Population-Estimations","2017","2017","1000 personnes","325084.756","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","238","Éthiopie","511","Population totale","3010","Population-Estimations","2016","2016","1000 personnes","103603.462","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","238","Éthiopie","511","Population totale","3010","Population-Estimations","2017","2017","1000 personnes","106399.924","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","185","Fédération de Russie","511","Population totale","3010","Population-Estimations","2016","2016","1000 personnes","145275.383","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","185","Fédération de Russie","511","Population totale","3010","Population-Estimations","2017","2017","1000 personnes","145530.082","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","66","Fidji","511","Population totale","3010","Population-Estimations","2016","2016","1000 personnes","872.399","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","66","Fidji","511","Population totale","3010","Population-Estimations","2017","2017","1000 personnes","877.459","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","67","Finlande","511","Population totale","3010","Population-Estimations","2016","2016","1000 personnes","5497.713","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","67","Finlande","511","Population totale","3010","Population-Estimations","2017","2017","1000 personnes","5511.371","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","68","France","511","Population totale","3010","Population-Estimations","2016","2016","1000 personnes","64667.596","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","68","France","511","Population totale","3010","Population-Estimations","2017","2017","1000 personnes","64842.509","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","74","Gabon","511","Population totale","3010","Population-Estimations","2016","2016","1000 personnes","2007.873","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","74","Gabon","511","Population totale","3010","Population-Estimations","2017","2017","1000 personnes","2064.823","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","75","Gambie","511","Population totale","3010","Population-Estimations","2016","2016","1000 personnes","2149.136","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","75","Gambie","511","Population totale","3010","Population-Estimations","2017","2017","1000 personnes","2213.889","X","Sources internationales sûres",""
